Designator,Mid X,Mid Y,Layer,Rotation
C1,168,-100.85,top,90
C3,186.5,-89.45,top,90
C4,189,-89.45,top,90
C5,191.5,-89.45,top,90
C6,197.5,-94.5,top,0
C7,201.5,-89.48,top,90
C8,193.5,-86.48,top,90
C9,202,-72.45,top,90
C10,204.5,-72.45,top,90
C11,198.5,-73.45,top,90
C12,194.5,-66,top,90
C13,165.25,-85.73,top,-90
C14,163,-79.48,top,-90
C15,176.5,-86.75,top,0
C16,164.5,-54.5,top,0
C17,165.5,-57,top,0
C18,165.5,-52.5,top,0
C19,192.5,-66.98,top,90
D1,197,-82.65,top,90
D3,212.515,-65,top,180
D4,212.49,-66.5,top,180
J1,155.5,-94.5,top,-90
J2,177.5,-106,top,0
J3,226,-82,top,90
J4,155.4,-72.85,top,-90
J5,155.4,-84.85,top,-90
J6,200.54,-54.5,top,-90
J7,219,-79.75,top,0
L1,206,-81.75,top,90
P1,154.3,-61.225,top,-90
R1,191.5,-92.5,top,0
R2,201.5,-91.51,top,90
R3,204.5,-90.825,top,90
R4,204.5,-94.01,top,90
R5,166,-69.5,top,180
R7,219,-62.5,top,90
R8,179,-73.01,top,90
R9,188,-69.5,top,180
R10,209,-58,top,0
R11,215.025,-65,top,180
R12,215,-66.5,top,180
R13,156,-55,top,180
R14,166,-68,top,180
SW1,218,-55.6,top,-90
SW2,212,-55.6,top,-90
U1,177,-58,top,0
U2,162.3625,-62.175,top,180
U3,196.65,-90.3,top,0
U4,173.7,-85.1375,top,-90
U5,168.1375,-85.2,top,180
U6,164.5,-76.5,top,180
U8,193.5,-72.65,top,90
